tau,coverage,selective_risk,risk_ucb,answered,errors,feasible,config_hash,seed
0.655,0.025,0.6,0.8124,10,6,False,773e1b820203,1337
0.66,0.025,0.6,0.8124,10,6,False,773e1b820203,1337
0.665,0.0225,0.5556,0.7896,9,5,False,773e1b820203,1337
0.67,0.02,0.625,0.8531,8,5,False,773e1b820203,1337
0.675,0.0175,0.5714,0.8304,7,4,False,773e1b820203,1337
0.68,0.0175,0.5714,0.8304,7,4,False,773e1b820203,1337
0.685,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.69,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.695,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.7,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.705,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.71,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.715,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.72,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.725,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.73,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.735,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.74,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.745,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.75,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.755,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.76,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.765,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.77,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.775,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.78,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.785,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.79,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.795,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.8,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.805,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.81,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
0.815,0.015,0.5,0.7991,6,3,False,773e1b820203,1337
